X,strain,pHMM
2157,Alistipes-senegalensis-JC50-MAF-2,lcdcustom
2159,Alistipes-shahii-WAL-8301-MAF-2,lcdcustom
2161,Anaerobutyricum_hallii,lcdcustom
2166,Anaerostipes-caccae-DSM-14662-MAF-2,lcdcustom
2170,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcdcustom
2174,Bacteroides-caccae-ATCC-43185-MAF-2,lcdcustom
2176,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcdcustom
2180,Bacteroides-coprophilus-DSM-18228-MAF-2,lcdcustom
2183,Bacteroides-dorei-5-1-36-D4-MAF-2,lcdcustom
2186,Bacteroides-dorei-DSM-17855-MAF-2,lcdcustom
2189,Bacteroides-eggerthii-DSM-20697-MAF-2,lcdcustom
2190,Bacteroides-finegoldii-DSM-17565-MAF-2,lcdcustom
2192,Bacteroides-fragilis-2-1-16-MAF-2,lcdcustom
2194,Bacteroides-fragilis-3-1-12-MAF-2,lcdcustom
2196,Bacteroides-intestinalis-DSM-17393-MAF-2,lcdcustom
2197,Bacteroides-ovatus-ATCC-8483-MAF-2,lcdcustom
2199,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcdcustom
2201,Bacteroides-plebeius-DSM-17135-MAF-2,lcdcustom
2204,Bacteroides-rodentium-JCM-16496-MAF-2,lcdcustom
2205,Bacteroides-sp-3-1-19-MAF-2,lcdcustom
2208,Bacteroides-sp-9-1-42FAA-MAF-2,lcdcustom
2211,Bacteroides-sp-D2-MAF-2,lcdcustom
2213,Bacteroides-stercoris-ATCC-43183-MAF-2,lcdcustom
2215,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcdcustom
2217,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcdcustom
2219,Bacteroides-uniformis-ATCC-8492-MAF-2,lcdcustom
2221,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcdcustom
2222,Bacteroides_fragilis,lcdcustom
2224,Bacteroides_ovatus,lcdcustom
2226,Bacteroides_thetaiotaomicron,lcdcustom
2228,Bifidobacterium-adolescentis-L2-32-MAF-2,lcdcustom
2230,Bifidobacterium_adolescentis,lcdcustom
2232,Bifidobacterium_longum,lcdcustom
2234,Blautia-hansenii-DSM-20583-MAF-2,lcdcustom
2236,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcdcustom
2239,Blautia-obeum-ATCC-29174-MAF-2,lcdcustom
2242,Blautia-sp-KLE-1732-MAF-2,lcdcustom
2247,Blautia-wexlerae-DSM-19850-MAF-2,lcdcustom
2249,Butyricimonas-virosa-DSM-23226-MAF-2,lcdcustom
2252,Butyrivibrio-crossotus-DSM-2876-MAF-2,lcdcustom
2255,Catenibacterium-mitsuokai-DSM-15897-MAF-2,lcdcustom
2256,Clostridium-scindens-ATCC-35704-MAF-2,lcdcustom
2260,Clostridium-sp-M62-1-MAF-2,lcdcustom
2262,Clostridium-spiroforme-DSM-1552-MAF-2,lcdcustom
2264,Collinsella-stercoris-DSM-13279-MAF-2,lcdcustom
2269,Collinsella_aerofaciens,lcdcustom
2271,Coprococcus-comes-ATCC-27758-MAF-2,lcdcustom
2274,Coprococcus-eutactus-ATCC-27759-MAF-2,lcdcustom
2276,Dorea-formicigenerans-ATCC-27755-MAF-2,lcdcustom
2281,Dorea-longicatena-DSM-13814-MAF-2,lcdcustom
2286,Enterocloster-asparagiformis-DSM-15981-MAF-2,lcdcustom
2292,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,lcdcustom
2297,Escherichia_coli,lcdcustom
2301,Eubacterium-siraeum-DSM-15702-MAF-2,lcdcustom
2303,Eubacterium-ventriosum-ATCC-27560-MAF-2,lcdcustom
2307,Eubacterium_eligens,lcdcustom
2312,Eubacterium_rectale,lcdcustom
2316,Faecalibacterium_prausnitzii,lcdcustom
2319,Granulicatella-adiacens-ATCC-49175-MAF-2,lcdcustom
2321,Intestinibacter-bartlettii-DSM-16795-MAF-2,lcdcustom
2324,Lachnospira-eligens-ATCC-27750-MAF-2,lcdcustom
2329,Lactobacillus-ruminis-ATCC-25644-MAF-2,lcdcustom
2332,Lactococcus-lactis-IL1403-MAF-2,lcdcustom
2335,Marvinbryantia-formatexigens-DSM-14469-MAF-2,lcdcustom
2337,Megasphaera-elsdenii-14-14-MAF-2,lcdcustom
2341,Mitsuokella-multacida-DSM-20544-MAF-2,lcdcustom
2345,Parabacteroides-johnsonii-DSM-18315-MAF-2,lcdcustom
2348,Parabacteroides-merdae-ATCC-43184-MAF-2,lcdcustom
2351,Parabacteroides-sp-D13-MAF-2,lcdcustom
2354,Phocaeicola_vulgatus,lcdcustom
2357,Prevotella-buccalis-ATCC-35310-MAF-2,lcdcustom
2358,Prevotella-copri-DSM-18205-MAF-2,lcdcustom
2359,Roseburia-intestinalis-L1-82-MAF-2,lcdcustom
2364,Roseburia_intestinalis,lcdcustom
2369,Ruminococcus-gauvreauii-DSM-19829-MAF-2,lcdcustom
2374,Ruminococcus-lactaris-ATCC-29176-MAF-2,lcdcustom
2377,Ruminococcus-torques-ATCC-27756-MAF-2,lcdcustom
2380,Ruminococcus_bromii,lcdcustom
2383,Streptococcus-thermophilus-LMD-9-MAF-2,lcdcustom
2386,Subdoligranulum-variabile-DSM-15176-MAF-2,lcdcustom
2389,Tyzzerella-nexilis-DSM-1787-MAF-2,lcdcustom
2391,Veillonella-sp-3-1-44-MAF-2,lcdcustom
2392,Veillonella-sp-6-1-27-MAF-2,lcdcustom
2393,Acidaminococcus-intestini-D21-MAF-2,malY
2404,Akkermansia_muciniphila,malY
2413,Alistipes-ihumii-AP11-MAF-2,malY
2418,Alistipes-indistinctus-YIT-12060-MAF-2,malY
2423,Alistipes-onderdonkii-DSM-19147-MAF-2,malY
2429,Alistipes-putredinis-DSM-17216-MAF-2,malY
2433,Alistipes-senegalensis-JC50-MAF-2,malY
2439,Alistipes-shahii-WAL-8301-MAF-2,malY
2444,Anaerobutyricum_hallii,malY
2452,Anaerostipes-caccae-DSM-14662-MAF-2,malY
2459,Anaerotruncus-colihominis-DSM-17241-MAF-2,malY
2467,Bacteroides-caccae-ATCC-43185-MAF-2,malY
2477,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malY
2488,Bacteroides-coprophilus-DSM-18228-MAF-2,malY
2497,Bacteroides-dorei-5-1-36-D4-MAF-2,malY
2508,Bacteroides-dorei-DSM-17855-MAF-2,malY
2520,Bacteroides-eggerthii-DSM-20697-MAF-2,malY
2529,Bacteroides-finegoldii-DSM-17565-MAF-2,malY
2538,Bacteroides-fragilis-2-1-16-MAF-2,malY
2548,Bacteroides-fragilis-3-1-12-MAF-2,malY
2559,Bacteroides-intestinalis-DSM-17393-MAF-2,malY
2568,Bacteroides-ovatus-ATCC-8483-MAF-2,malY
2582,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malY
2589,Bacteroides-plebeius-DSM-17135-MAF-2,malY
2599,Bacteroides-rodentium-JCM-16496-MAF-2,malY
2609,Bacteroides-sp-3-1-19-MAF-2,malY
2622,Bacteroides-sp-9-1-42FAA-MAF-2,malY
2633,Bacteroides-sp-D2-MAF-2,malY
2646,Bacteroides-stercoris-ATCC-43183-MAF-2,malY
2655,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malY
2667,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malY
2679,Bacteroides-uniformis-ATCC-8492-MAF-2,malY
2690,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malY
2703,Bacteroides_fragilis,malY
2713,Bacteroides_ovatus,malY
2727,Bacteroides_thetaiotaomicron,malY
2739,Bifidobacterium-adolescentis-L2-32-MAF-2,malY
2751,Bifidobacterium_adolescentis,malY
2762,Bifidobacterium_longum,malY
2775,Blautia-hansenii-DSM-20583-MAF-2,malY
2784,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malY
2805,Blautia-obeum-ATCC-29174-MAF-2,malY
2812,Blautia-sp-KLE-1732-MAF-2,malY
2819,Blautia-wexlerae-DSM-19850-MAF-2,malY
2825,Butyricimonas-virosa-DSM-23226-MAF-2,malY
2834,Butyrivibrio-crossotus-DSM-2876-MAF-2,malY
2841,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malY
2848,Clostridium-scindens-ATCC-35704-MAF-2,malY
2857,Clostridium-sp-M62-1-MAF-2,malY
2867,Clostridium-spiroforme-DSM-1552-MAF-2,malY
2875,Collinsella-stercoris-DSM-13279-MAF-2,malY
2881,Collinsella_aerofaciens,malY
2891,Coprococcus-comes-ATCC-27758-MAF-2,malY
2903,Coprococcus-eutactus-ATCC-27759-MAF-2,malY
2909,Desulfovibrio_piger,malY
2918,Dorea-formicigenerans-ATCC-27755-MAF-2,malY
2928,Dorea-longicatena-DSM-13814-MAF-2,malY
2942,Enterocloster-asparagiformis-DSM-15981-MAF-2,malY
2966,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malY
2984,Escherichia_coli,malY
2992,Eubacterium-siraeum-DSM-15702-MAF-2,malY
2996,Eubacterium-ventriosum-ATCC-27560-MAF-2,malY
3002,Eubacterium_eligens,malY
3012,Eubacterium_rectale,malY
3019,Faecalibacterium_prausnitzii,malY
3023,Granulicatella-adiacens-ATCC-49175-MAF-2,malY
3029,Intestinibacter-bartlettii-DSM-16795-MAF-2,malY
3046,Lachnospira-eligens-ATCC-27750-MAF-2,malY
3056,Lactobacillus-ruminis-ATCC-25644-MAF-2,malY
3065,Lactococcus-lactis-IL1403-MAF-2,malY
3070,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malY
3077,Megasphaera-elsdenii-14-14-MAF-2,malY
3093,Mitsuokella-multacida-DSM-20544-MAF-2,malY
3100,Parabacteroides-johnsonii-DSM-18315-MAF-2,malY
3111,Parabacteroides-merdae-ATCC-43184-MAF-2,malY
3122,Parabacteroides-sp-D13-MAF-2,malY
3134,Phocaeicola_vulgatus,malY
3145,Prevotella-buccalis-ATCC-35310-MAF-2,malY
3151,Prevotella-copri-DSM-18205-MAF-2,malY
3158,Roseburia-intestinalis-L1-82-MAF-2,malY
3170,Roseburia_intestinalis,malY
3182,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malY
3194,Ruminococcus-lactaris-ATCC-29176-MAF-2,malY
3202,Ruminococcus-torques-ATCC-27756-MAF-2,malY
3210,Ruminococcus_bromii,malY
3215,Streptococcus-thermophilus-LMD-9-MAF-2,malY
3223,Subdoligranulum-variabile-DSM-15176-MAF-2,malY
3231,Tyzzerella-nexilis-DSM-1787-MAF-2,malY
3239,Veillonella-sp-3-1-44-MAF-2,malY
3248,Veillonella-sp-6-1-27-MAF-2,malY
3257,Acidaminococcus-intestini-D21-MAF-2,malYcustom
3269,Akkermansia_muciniphila,malYcustom
3279,Alistipes-ihumii-AP11-MAF-2,malYcustom
3285,Alistipes-indistinctus-YIT-12060-MAF-2,malYcustom
3293,Alistipes-onderdonkii-DSM-19147-MAF-2,malYcustom
3299,Alistipes-putredinis-DSM-17216-MAF-2,malYcustom
3303,Alistipes-senegalensis-JC50-MAF-2,malYcustom
3309,Alistipes-shahii-WAL-8301-MAF-2,malYcustom
3314,Anaerobutyricum_hallii,malYcustom
3327,Anaerostipes-caccae-DSM-14662-MAF-2,malYcustom
3338,Anaerotruncus-colihominis-DSM-17241-MAF-2,malYcustom
3347,Bacteroides-caccae-ATCC-43185-MAF-2,malYcustom
3358,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malYcustom
3371,Bacteroides-coprophilus-DSM-18228-MAF-2,malYcustom
3380,Bacteroides-dorei-5-1-36-D4-MAF-2,malYcustom
3391,Bacteroides-dorei-DSM-17855-MAF-2,malYcustom
3403,Bacteroides-eggerthii-DSM-20697-MAF-2,malYcustom
3414,Bacteroides-finegoldii-DSM-17565-MAF-2,malYcustom
3423,Bacteroides-fragilis-2-1-16-MAF-2,malYcustom
3435,Bacteroides-fragilis-3-1-12-MAF-2,malYcustom
3449,Bacteroides-intestinalis-DSM-17393-MAF-2,malYcustom
3461,Bacteroides-ovatus-ATCC-8483-MAF-2,malYcustom
3475,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malYcustom
3488,Bacteroides-plebeius-DSM-17135-MAF-2,malYcustom
3498,Bacteroides-rodentium-JCM-16496-MAF-2,malYcustom
3509,Bacteroides-sp-3-1-19-MAF-2,malYcustom
3524,Bacteroides-sp-9-1-42FAA-MAF-2,malYcustom
3535,Bacteroides-sp-D2-MAF-2,malYcustom
3548,Bacteroides-stercoris-ATCC-43183-MAF-2,malYcustom
3558,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malYcustom
3571,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malYcustom
3583,Bacteroides-uniformis-ATCC-8492-MAF-2,malYcustom
3596,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malYcustom
3609,Bacteroides_fragilis,malYcustom
3621,Bacteroides_ovatus,malYcustom
3635,Bacteroides_thetaiotaomicron,malYcustom
3647,Bifidobacterium-adolescentis-L2-32-MAF-2,malYcustom
3659,Bifidobacterium_adolescentis,malYcustom
3671,Bifidobacterium_longum,malYcustom
3685,Blautia-hansenii-DSM-20583-MAF-2,malYcustom
3695,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malYcustom
3723,Blautia-obeum-ATCC-29174-MAF-2,malYcustom
3736,Blautia-sp-KLE-1732-MAF-2,malYcustom
3748,Blautia-wexlerae-DSM-19850-MAF-2,malYcustom
3759,Butyricimonas-virosa-DSM-23226-MAF-2,malYcustom
3771,Butyrivibrio-crossotus-DSM-2876-MAF-2,malYcustom
3781,Catenibacterium-mitsuokai-DSM-15897-MAF-2,malYcustom
3792,Clostridium-scindens-ATCC-35704-MAF-2,malYcustom
3804,Clostridium-sp-M62-1-MAF-2,malYcustom
3820,Clostridium-spiroforme-DSM-1552-MAF-2,malYcustom
3829,Collinsella-stercoris-DSM-13279-MAF-2,malYcustom
3838,Collinsella_aerofaciens,malYcustom
3850,Coprococcus-comes-ATCC-27758-MAF-2,malYcustom
3867,Coprococcus-eutactus-ATCC-27759-MAF-2,malYcustom
3875,Desulfovibrio_piger,malYcustom
3884,Dorea-formicigenerans-ATCC-27755-MAF-2,malYcustom
3898,Dorea-longicatena-DSM-13814-MAF-2,malYcustom
3913,Enterocloster-asparagiformis-DSM-15981-MAF-2,malYcustom
3940,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,malYcustom
3962,Escherichia_coli,malYcustom
3974,Eubacterium-siraeum-DSM-15702-MAF-2,malYcustom
3978,Eubacterium-ventriosum-ATCC-27560-MAF-2,malYcustom
3987,Eubacterium_eligens,malYcustom
4000,Eubacterium_rectale,malYcustom
4015,Faecalibacterium_prausnitzii,malYcustom
4024,Granulicatella-adiacens-ATCC-49175-MAF-2,malYcustom
4030,Intestinibacter-bartlettii-DSM-16795-MAF-2,malYcustom
4047,Lachnospira-eligens-ATCC-27750-MAF-2,malYcustom
4060,Lactobacillus-ruminis-ATCC-25644-MAF-2,malYcustom
4070,Lactococcus-lactis-IL1403-MAF-2,malYcustom
4076,Marvinbryantia-formatexigens-DSM-14469-MAF-2,malYcustom
4084,Megasphaera-elsdenii-14-14-MAF-2,malYcustom
4102,Mitsuokella-multacida-DSM-20544-MAF-2,malYcustom
4110,Parabacteroides-johnsonii-DSM-18315-MAF-2,malYcustom
4121,Parabacteroides-merdae-ATCC-43184-MAF-2,malYcustom
4132,Parabacteroides-sp-D13-MAF-2,malYcustom
4145,Phocaeicola_vulgatus,malYcustom
4156,Prevotella-buccalis-ATCC-35310-MAF-2,malYcustom
4163,Prevotella-copri-DSM-18205-MAF-2,malYcustom
4170,Roseburia-intestinalis-L1-82-MAF-2,malYcustom
4188,Roseburia_intestinalis,malYcustom
4206,Ruminococcus-gauvreauii-DSM-19829-MAF-2,malYcustom
4223,Ruminococcus-lactaris-ATCC-29176-MAF-2,malYcustom
4235,Ruminococcus-torques-ATCC-27756-MAF-2,malYcustom
4243,Ruminococcus_bromii,malYcustom
4251,Streptococcus-thermophilus-LMD-9-MAF-2,malYcustom
4259,Subdoligranulum-variabile-DSM-15176-MAF-2,malYcustom
4271,Tyzzerella-nexilis-DSM-1787-MAF-2,malYcustom
4284,Veillonella-sp-3-1-44-MAF-2,malYcustom
4292,Veillonella-sp-6-1-27-MAF-2,malYcustom
4300,Acidaminococcus-intestini-D21-MAF-2,metC
4306,Akkermansia_muciniphila,metC
4312,Alistipes-ihumii-AP11-MAF-2,metC
4315,Alistipes-indistinctus-YIT-12060-MAF-2,metC
4319,Alistipes-onderdonkii-DSM-19147-MAF-2,metC
4322,Alistipes-putredinis-DSM-17216-MAF-2,metC
4325,Alistipes-senegalensis-JC50-MAF-2,metC
4330,Alistipes-shahii-WAL-8301-MAF-2,metC
4333,Anaerobutyricum_hallii,metC
4341,Anaerostipes-caccae-DSM-14662-MAF-2,metC
4347,Anaerotruncus-colihominis-DSM-17241-MAF-2,metC
4355,Bacteroides-caccae-ATCC-43185-MAF-2,metC
4359,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metC
4363,Bacteroides-coprophilus-DSM-18228-MAF-2,metC
4368,Bacteroides-dorei-5-1-36-D4-MAF-2,metC
4372,Bacteroides-dorei-DSM-17855-MAF-2,metC
4376,Bacteroides-eggerthii-DSM-20697-MAF-2,metC
4380,Bacteroides-finegoldii-DSM-17565-MAF-2,metC
4384,Bacteroides-fragilis-2-1-16-MAF-2,metC
4391,Bacteroides-fragilis-3-1-12-MAF-2,metC
4396,Bacteroides-intestinalis-DSM-17393-MAF-2,metC
4400,Bacteroides-ovatus-ATCC-8483-MAF-2,metC
4405,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metC
4414,Bacteroides-plebeius-DSM-17135-MAF-2,metC
4418,Bacteroides-rodentium-JCM-16496-MAF-2,metC
4422,Bacteroides-sp-3-1-19-MAF-2,metC
4426,Bacteroides-sp-9-1-42FAA-MAF-2,metC
4430,Bacteroides-sp-D2-MAF-2,metC
4435,Bacteroides-stercoris-ATCC-43183-MAF-2,metC
4439,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metC
4444,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metC
4449,Bacteroides-uniformis-ATCC-8492-MAF-2,metC
4453,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metC
4457,Bacteroides_fragilis,metC
4464,Bacteroides_ovatus,metC
4469,Bacteroides_thetaiotaomicron,metC
4474,Bifidobacterium-adolescentis-L2-32-MAF-2,metC
4481,Bifidobacterium_adolescentis,metC
4488,Bifidobacterium_longum,metC
4495,Blautia-hansenii-DSM-20583-MAF-2,metC
4498,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metC
4504,Blautia-obeum-ATCC-29174-MAF-2,metC
4511,Blautia-sp-KLE-1732-MAF-2,metC
4518,Blautia-wexlerae-DSM-19850-MAF-2,metC
4525,Butyricimonas-virosa-DSM-23226-MAF-2,metC
4527,Butyrivibrio-crossotus-DSM-2876-MAF-2,metC
4533,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metC
4541,Clostridium-scindens-ATCC-35704-MAF-2,metC
4548,Clostridium-sp-M62-1-MAF-2,metC
4551,Clostridium-spiroforme-DSM-1552-MAF-2,metC
4555,Collinsella-stercoris-DSM-13279-MAF-2,metC
4561,Collinsella_aerofaciens,metC
4570,Coprococcus-comes-ATCC-27758-MAF-2,metC
4575,Coprococcus-eutactus-ATCC-27759-MAF-2,metC
4581,Desulfovibrio_piger,metC
4583,Dorea-formicigenerans-ATCC-27755-MAF-2,metC
4590,Dorea-longicatena-DSM-13814-MAF-2,metC
4598,Enterocloster-asparagiformis-DSM-15981-MAF-2,metC
4607,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metC
4615,Escherichia_coli,metC
4623,Eubacterium-siraeum-DSM-15702-MAF-2,metC
4630,Eubacterium-ventriosum-ATCC-27560-MAF-2,metC
4635,Eubacterium_eligens,metC
4644,Eubacterium_rectale,metC
4654,Faecalibacterium_prausnitzii,metC
4662,Granulicatella-adiacens-ATCC-49175-MAF-2,metC
4663,Intestinibacter-bartlettii-DSM-16795-MAF-2,metC
4672,Lachnospira-eligens-ATCC-27750-MAF-2,metC
4681,Lactobacillus-ruminis-ATCC-25644-MAF-2,metC
4684,Lactococcus-lactis-IL1403-MAF-2,metC
4689,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metC
4695,Megasphaera-elsdenii-14-14-MAF-2,metC
4700,Mitsuokella-multacida-DSM-20544-MAF-2,metC
4706,Parabacteroides-johnsonii-DSM-18315-MAF-2,metC
4711,Parabacteroides-merdae-ATCC-43184-MAF-2,metC
4715,Parabacteroides-sp-D13-MAF-2,metC
4719,Phocaeicola_vulgatus,metC
4723,Prevotella-buccalis-ATCC-35310-MAF-2,metC
4726,Prevotella-copri-DSM-18205-MAF-2,metC
4732,Roseburia-intestinalis-L1-82-MAF-2,metC
4744,Roseburia_intestinalis,metC
4756,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metC
4764,Ruminococcus-lactaris-ATCC-29176-MAF-2,metC
4770,Ruminococcus-torques-ATCC-27756-MAF-2,metC
4776,Ruminococcus_bromii,metC
4784,Streptococcus-thermophilus-LMD-9-MAF-2,metC
4787,Subdoligranulum-variabile-DSM-15176-MAF-2,metC
4792,Tyzzerella-nexilis-DSM-1787-MAF-2,metC
4799,Veillonella-sp-3-1-44-MAF-2,metC
4803,Veillonella-sp-6-1-27-MAF-2,metC
4807,Acidaminococcus-intestini-D21-MAF-2,metCcustom
4821,Akkermansia_muciniphila,metCcustom
4833,Alistipes-ihumii-AP11-MAF-2,metCcustom
4837,Alistipes-indistinctus-YIT-12060-MAF-2,metCcustom
4848,Alistipes-onderdonkii-DSM-19147-MAF-2,metCcustom
4853,Alistipes-putredinis-DSM-17216-MAF-2,metCcustom
4857,Alistipes-senegalensis-JC50-MAF-2,metCcustom
4863,Alistipes-shahii-WAL-8301-MAF-2,metCcustom
4867,Anaerobutyricum_hallii,metCcustom
4880,Anaerostipes-caccae-DSM-14662-MAF-2,metCcustom
4893,Anaerotruncus-colihominis-DSM-17241-MAF-2,metCcustom
4909,Bacteroides-caccae-ATCC-43185-MAF-2,metCcustom
4918,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metCcustom
4931,Bacteroides-coprophilus-DSM-18228-MAF-2,metCcustom
4942,Bacteroides-dorei-5-1-36-D4-MAF-2,metCcustom
4955,Bacteroides-dorei-DSM-17855-MAF-2,metCcustom
4967,Bacteroides-eggerthii-DSM-20697-MAF-2,metCcustom
4980,Bacteroides-finegoldii-DSM-17565-MAF-2,metCcustom
4991,Bacteroides-fragilis-2-1-16-MAF-2,metCcustom
5005,Bacteroides-fragilis-3-1-12-MAF-2,metCcustom
5018,Bacteroides-intestinalis-DSM-17393-MAF-2,metCcustom
5031,Bacteroides-ovatus-ATCC-8483-MAF-2,metCcustom
5042,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metCcustom
5061,Bacteroides-plebeius-DSM-17135-MAF-2,metCcustom
5072,Bacteroides-rodentium-JCM-16496-MAF-2,metCcustom
5081,Bacteroides-sp-3-1-19-MAF-2,metCcustom
5100,Bacteroides-sp-9-1-42FAA-MAF-2,metCcustom
5113,Bacteroides-sp-D2-MAF-2,metCcustom
5126,Bacteroides-stercoris-ATCC-43183-MAF-2,metCcustom
5137,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metCcustom
5150,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metCcustom
5163,Bacteroides-uniformis-ATCC-8492-MAF-2,metCcustom
5175,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metCcustom
5186,Bacteroides_fragilis,metCcustom
5200,Bacteroides_ovatus,metCcustom
5211,Bacteroides_thetaiotaomicron,metCcustom
5224,Bifidobacterium-adolescentis-L2-32-MAF-2,metCcustom
5236,Bifidobacterium_adolescentis,metCcustom
5248,Bifidobacterium_longum,metCcustom
5261,Blautia-hansenii-DSM-20583-MAF-2,metCcustom
5272,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metCcustom
5295,Blautia-obeum-ATCC-29174-MAF-2,metCcustom
5310,Blautia-sp-KLE-1732-MAF-2,metCcustom
5323,Blautia-wexlerae-DSM-19850-MAF-2,metCcustom
5336,Butyricimonas-virosa-DSM-23226-MAF-2,metCcustom
5341,Butyrivibrio-crossotus-DSM-2876-MAF-2,metCcustom
5354,Catenibacterium-mitsuokai-DSM-15897-MAF-2,metCcustom
5367,Clostridium-scindens-ATCC-35704-MAF-2,metCcustom
5381,Clostridium-sp-M62-1-MAF-2,metCcustom
5395,Clostridium-spiroforme-DSM-1552-MAF-2,metCcustom
5409,Collinsella-stercoris-DSM-13279-MAF-2,metCcustom
5421,Collinsella_aerofaciens,metCcustom
5436,Coprococcus-comes-ATCC-27758-MAF-2,metCcustom
5451,Coprococcus-eutactus-ATCC-27759-MAF-2,metCcustom
5463,Desulfovibrio_piger,metCcustom
5472,Dorea-formicigenerans-ATCC-27755-MAF-2,metCcustom
5489,Dorea-longicatena-DSM-13814-MAF-2,metCcustom
5505,Enterocloster-asparagiformis-DSM-15981-MAF-2,metCcustom
5525,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,metCcustom
5546,Escherichia_coli,metCcustom
5559,Eubacterium-siraeum-DSM-15702-MAF-2,metCcustom
5571,Eubacterium-ventriosum-ATCC-27560-MAF-2,metCcustom
5580,Eubacterium_eligens,metCcustom
5594,Eubacterium_rectale,metCcustom
5608,Faecalibacterium_prausnitzii,metCcustom
5621,Granulicatella-adiacens-ATCC-49175-MAF-2,metCcustom
5626,Intestinibacter-bartlettii-DSM-16795-MAF-2,metCcustom
5644,Lachnospira-eligens-ATCC-27750-MAF-2,metCcustom
5658,Lactobacillus-ruminis-ATCC-25644-MAF-2,metCcustom
5666,Lactococcus-lactis-IL1403-MAF-2,metCcustom
5676,Marvinbryantia-formatexigens-DSM-14469-MAF-2,metCcustom
5688,Megasphaera-elsdenii-14-14-MAF-2,metCcustom
5702,Mitsuokella-multacida-DSM-20544-MAF-2,metCcustom
5714,Parabacteroides-johnsonii-DSM-18315-MAF-2,metCcustom
5726,Parabacteroides-merdae-ATCC-43184-MAF-2,metCcustom
5738,Parabacteroides-sp-D13-MAF-2,metCcustom
5756,Phocaeicola_vulgatus,metCcustom
5767,Prevotella-buccalis-ATCC-35310-MAF-2,metCcustom
5778,Prevotella-copri-DSM-18205-MAF-2,metCcustom
5790,Roseburia-intestinalis-L1-82-MAF-2,metCcustom
5813,Roseburia_intestinalis,metCcustom
5836,Ruminococcus-gauvreauii-DSM-19829-MAF-2,metCcustom
5854,Ruminococcus-lactaris-ATCC-29176-MAF-2,metCcustom
5867,Ruminococcus-torques-ATCC-27756-MAF-2,metCcustom
5876,Ruminococcus_bromii,metCcustom
5889,Streptococcus-thermophilus-LMD-9-MAF-2,metCcustom
5899,Subdoligranulum-variabile-DSM-15176-MAF-2,metCcustom
5913,Tyzzerella-nexilis-DSM-1787-MAF-2,metCcustom
5927,Veillonella-sp-3-1-44-MAF-2,metCcustom
5935,Veillonella-sp-6-1-27-MAF-2,metCcustom
5944,Akkermansia_muciniphila,tnaA
5945,Alistipes-indistinctus-YIT-12060-MAF-2,tnaA
5946,Alistipes-onderdonkii-DSM-19147-MAF-2,tnaA
5947,Alistipes-putredinis-DSM-17216-MAF-2,tnaA
5949,Alistipes-shahii-WAL-8301-MAF-2,tnaA
5950,Anaerotruncus-colihominis-DSM-17241-MAF-2,tnaA
5952,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,tnaA
5953,Bacteroides-eggerthii-DSM-20697-MAF-2,tnaA
5954,Bacteroides-intestinalis-DSM-17393-MAF-2,tnaA
